"","score","text","polarity"
"21",0,"RT @VMuppi: Sam Pitroda @sampitroda ( full name - Satyanarayan Gangaram Pitroda) is a Gujarati. Why would he not help fellow gujarati PM @n…","neutral"
"22",0,"Traveling 4440 km to vote for @INCIndia. #Delhi votes tomorrow (12th May, 2019). Good Luck @RahulGandhi","neutral"
"23",1,"RT @arunpudur: So the unbiased 'Journalist' Taseer is / was @INCIndia PR Manager. 

Aare Pidis forgot to delete this in Wikipedia. May thin…","positive"
"24",-2,"RT @usha_ravi: @INCIndia @RahulGandhi @htTweets Modiji is not bothered about your fsmily. you lied about him and called him names. So he br…","negative"
"25",2,"@OpIndia_com This a better image. Just like the Titanic, @INCIndia will sink. https://t.co/2BdU4f4Kaf","positive"
"26",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"27",0,"@indicvedic @BDUTT @INCIndia Kisko Gyan de Raha h, we all know @BDUTT FACTS ME BELIEVE NHI KARTI,. WE ARE CONSPIRAC… https://t.co/TTeQxjWRXV","neutral"
"28",0,"RT @vintananda: All know @sampitroda’s words are misrepresented deliberately to suit anti @INCIndia hyperbole of @BJP4India to garner lost…","neutral"
"29",0,"RT @Indopolity: 1. Admiral Ramdas is a politician now. 2. His daughter is in Ford Foundation. 3. Son-in-law is a Pakistani. 4. Wife is in G…","neutral"
"30",2,"RT @_A_j_i_t: @INCIndia @RahulGandhi @htTweets Actions from your past leads to your present and helps for a better Future.. So nothing wron…","positive"
"31",1,"@BJP4India @INCIndia @tehseenp @Awhadspeaks Narendra Modi....Get ready for payments of your hardwork of destroying… https://t.co/hocgCgTSI5","positive"
"32",-1,"RT @Kjbhat1: @cchandramouli1 @bsvaidya @TajinderBagga @INCIndia @sampitroda @RahulGandhi Invoke provisions of criminal law, non bailable wa…","negative"
"33",0,"@SaCh2380 @nsrao_iitr @GautamGambhir @BJP4India Yes definitely.... When compared to the lofty standards set by… https://t.co/fnqAsoRQKw","neutral"
"34",-1,"RT @INCIndia: By listening to the voice of the people &amp; constructing sound economic policies we will reverse the declining trend of economi…","negative"
"35",1,"RT @Tarapur164: @sandycena10 @boxervijender @priyankagandhi @INCIndia @DelhiPYC @INCDelhi @MahilaCongress He is with right party, if you ar…","positive"
"36",-1,"RT @cchandramouli1: Sure @TajinderBagga. The @INCIndia's unmindful loose cannon Sam @sampitroda (who also happens to be @RahulGandhi MargDa…","negative"
"37",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"38",0,"RT @OverseasFID: @rssurjewala Written , directed &amp; paid by @INCIndia 
👇👇👇👇👇👇👇👇👇👇👇👇

https://t.co/qUMxcfJrky","neutral"
"39",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"40",0,"@VMuppi @INCIndia @sampitroda @RahulGandhi Who told you Aiyer is dismissed","neutral"
"41",0,"@ashutosh83B @PawarSpeaks @NCPAMumbai @INCIndia @AamAadmiParty @BJP4India Uncle how much u r paid by the opposition… https://t.co/WESb2pymla","neutral"
"42",0,"RT @arunpudur: Leftist #TimeMagazine has it's Paki Journalist do a hit piece funded by Cambridge Analytica who's biggest customer is @INCIn…","neutral"
"43",0,"@sampitroda in politics opponents wait for every word u utter if u are not sure dont open your mouth, why get into… https://t.co/i0HuqdfkbV","neutral"
"44",1,"@INCIndia Quite creative","positive"
"45",-1,"@ashutosh83B @AamAadmiParty @ArvindKejriwal @Saurabh_MLAgk @SanjayAzadSln @BJP4India @INCIndia When BJP loose, EVM get confused ?","negative"
"46",2,"RT @AshaKumariINC: The support for @INCIndia President Sh.@RahulGandhi's leadership was at an exemplary display today during his rally in C…","positive"
"47",-1,"@ShefVaidya @sampitroda @RahulGandhi @INCIndia Sam refused to script the apology for him","negative"
"48",3,"RT @srspdkt: What's pretty clear is that we're winning the election: Congress President @RahulGandhi speaks to @SreenivasanJain from @NDTV…","positive"
"49",0,"RT @ShefVaidya: So in the last three weeks, @sampitroda, political Guru and mentor of @RahulGandhi has 1) Questioned Balakot air strikes 2)…","neutral"
"50",0,"RT @Rajput_Ramesh: Madam @_sabanaqvi are you @INCIndia spokie ? 
Or political broker for @INCIndia and @AamAadmiParty ? https://t.co/b2rCYL…","neutral"
"51",0,"@SYadavMLA @INCIndia @INCMP @RahulGandhi @OfficeOfKNath @yadavtejashwi @HardikPatel_ @MPArunYadav @JM_Scindia… https://t.co/ZupMgY5Cm8","neutral"
"52",1,"RT @ImSarveshVerma: Disturbed minded @INCIndia u all r just playing for enjoying #SattaSukh by #YenKenPrakaren.If u all so against violence…","positive"
"53",-2,"RT @VMuppi: here come the full blow of sabotage to @INCIndia by @sampitroda 

Look sir @RahulGandhi I am not a celebrity. Many hi-fi folks…","negative"
"54",-2,"RT @Prof_Hariom: Dear outraged Sikhs in Punjab, Delhi, Haryana &amp; Himachal Pradesh,

You one vote for the butcher of 15000 Sikhs, incl 3000…","negative"
"55",2,"RT @thesuniljain: For all the retired Navy top brass running to give a clean chit to Rajiv Gandhi @INCIndia @RahulGandhi. Today's @IndianEx…","positive"
"56",0,"RT @TonySahajlain: No mainstream media will show this ""Aazadi"" slogans shouted by the Muslims! #MustWatch
#ModiHiAayega
@RahulGandhi
@naren…","neutral"
"57",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"58",0,"@BDUTT @narendramodi @BJP4India @INCIndia if Ms.Dutt name is not on voter list tomorrow... It would be a national d… https://t.co/oBcA0dh6Wg","neutral"
"59",0,"@ETNOWlive @INCIndia @BJP4India Butter policing, god fathers always created such havoc, where in u need to gallop t… https://t.co/2m9fCHwkvX","neutral"
"60",1,"RT @manishasangwan4: For those @narendramodi bhakts who have said that he has improve the image of country internationally. Has he damaged…","positive"
"61",0,"RT @Prof_Hariom: Dear Hindus,
I am again tweeting.

Both @INCIndia and Muslim League were founded by London

INC by Hume, Dufferin and Curz…","neutral"
"62",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"63",0,"RT @MaheshwarKinnal: @GoaFront @BJP4India @INCIndia @BJP4Goa @INCGoa @goacm @PMOIndia @nstomar @AmitShah @nitin_gadkari @Goaforwardparty @T…","neutral"
"64",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"65",0,"RT @rkarnad: (5) Reuters quotes a @INCIndia official saying that 'the BJP had the funds to reserve most of India’s fleet of helicopters for…","neutral"
"66",0,"RT @varunanandsays: @cskkanu #feminist don't want reservation in this job. They want reservation only in white collar job... 

#GenderBiase…","neutral"
"67",0,"@sampitroda Shameless. For almost 1000 yrs majority community in India suferred due to internal strife's and extern… https://t.co/ZobTTaKFWR","neutral"
"68",-2,"RT @VMuppi: here come the full blow of sabotage to @INCIndia by @sampitroda 

Look sir @RahulGandhi I am not a celebrity. Many hi-fi folks…","negative"
"69",0,"RT @Indopolity: 1. Admiral Ramdas is a politician now. 2. His daughter is in Ford Foundation. 3. Son-in-law is a Pakistani. 4. Wife is in G…","neutral"
"70",0,"@ashutosh83B @AamAadmiParty @ArvindKejriwal @Saurabh_MLAgk @SanjayAzadSln @BJP4India @INCIndia In every election no… https://t.co/imZXq3X0UI","neutral"
"71",0,"RT @PrakashJavdekar: Even Punjab CM @capt_amarinder has admitted that H.K.L Bhaghat, Arjun Das, Lalit Maken, Sajjan Kumar &amp; one minister, p…","neutral"
"72",1,"RT @AamAadmiParty: Thank You @INCIndia for appreciating the work done by AAP Govt. and asking the people to vote for us. 

#Vote4AAP https:…","positive"
"73",0,"RT @thetribunechd: PM @narendramodi hits out at @INCIndia over #SamPitroda's remark on #Sikh riots https://t.co/77GFfSTbsA @BharteshThakur…","neutral"
"74",0,"RT @arunpudur: Leftist #TimeMagazine has it's Paki Journalist do a hit piece funded by Cambridge Analytica who's biggest customer is @INCIn…","neutral"
"75",0,"RT @Narende81842046: #Kabir_is_God #SantRampalJiMaharaj #FridayFeeling 
Jo log Dahej Pratha se dukhi h,
Read ""Gyan Ganga"" book written by G…","neutral"
"76",0,"RT @Indopolity: 1. Admiral Ramdas is a politician now. 2. His daughter is in Ford Foundation. 3. Son-in-law is a Pakistani. 4. Wife is in G…","neutral"
"77",0,"@rahulkanwal Late Shri RK Laxman's apt cartoon from 1987. @sardesairajdeep @BDUTT @IndiaToday @PMOIndia… https://t.co/r6mtvFPkVq","neutral"
"78",0,"@deepakbhx @Rahuljain094 @nandtara @ianbremmer @TIME @narendramodi @INCIndia @BJP4India @mihirssharma @arunjaitley… https://t.co/IAqdz0TrnI","neutral"
"79",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"80",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"81",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"82",0,".@sampitroda will say - ‘Hua Toh Hua’. @INCIndia is turning into Mughals of today ! https://t.co/cjZchzVKJj","neutral"
"83",-1,"RT @Prof_Hariom: Big big big big breaking 
Punjab CM Captain Amrinder Singh admits that 5 top Congress  leaders carried out massacre of 800…","negative"
"84",0,"RT @computervarun: Who has more knowledge. #UttarPradesh #Bihar #Maharashtra #Rajasthan #Karnataka #Uttarakhand #MadhyaPradesh #Bollywood #…","neutral"
"85",-2,"RT @ShefVaidya: So the genocide of innocent Sikhs in 1984 at the behest of @INCIndia leaders and @sampitroda's brazen defense of it is an '…","negative"
"86",0,"@shakkuiyer @sampitroda @narendramodi ji, v hav to make sure this moron @RahulGandhi doesn’t celebrate his next bir… https://t.co/EmyE8O5jvU","neutral"
"87",1,"@TheGreatCharmer @INCIndia Be that as it may, sir, he serves the Indian people. He remains PM at the pleasure of In… https://t.co/hXhx3K3Ypm","positive"
"88",3,"@INCIndia leaders lined up behind their top leader @RahulGandhi to tender unconditional apology r not rt message in… https://t.co/hnVZ3Ez0Vn","positive"
"89",1,"RT @blsanthosh: The famous vacation of a PM ... Shameless @INCIndia argues that a PM is entitled for these trips .... Congress Mukt Bharath…","positive"
"90",-1,"RT @Prof_Hariom: Big big big big breaking 
Punjab CM Captain Amrinder Singh admits that 5 top Congress  leaders carried out massacre of 800…","negative"
"91",0,"@GodduSahadev @sampitroda @rajeev_mp @BJP4Karnataka @RahulGandhi @priyankagandhi @INCIndia Next you will defend cro… https://t.co/EhieLUkjRp","neutral"
"92",0,"@RahulGandhi @INCIndia Indiana Jones at his best, Chotta Bheem. Finally he realized he is fighting Past, Present &amp;… https://t.co/C203TkeRIw","neutral"
"93",-1,"@INCIndia Now you certifying . You lied to  the public","negative"
"94",0,"Why should Mother Son and Daughter stay in three different houses in same city and have party offices across two bu… https://t.co/Ofv5Ac3Lsw","neutral"
"95",1,"@jyotiaspnet @AltNews @TIME @INCIndia Just like @BJP4India MP candidate Pragya Thakur, she involved in the Malegaon… https://t.co/iBlszix8wo","positive"
"96",1,"RT @blsanthosh: The famous vacation of a PM ... Shameless @INCIndia argues that a PM is entitled for these trips .... Congress Mukt Bharath…","positive"
"97",-2,"RT @Prof_Hariom: Dear outraged Sikhs in Punjab, Delhi, Haryana &amp; Himachal Pradesh,

You one vote for the butcher of 15000 Sikhs, incl 3000…","negative"
"98",1,"@dna Modi have family, but he had placed country top of priority unlike @INCIndia","positive"
"99",2,"RT @HarsimratBadal_: Raja Sahib @capt_amarinder you admit 5 @INCIndia men led ‘84 ‘katleaam’ of Sikhs but continue to protect #JagdishTytle…","positive"
"100",0,"So Rahul Gandhi has also denounced Pitroda's remark. 
https://t.co/ErK4txcepL

Meanwhile, still waiting for… https://t.co/xDAL7vmzZz","neutral"
"101",-1,"Great rebuttal by @WindsOfChange72 of Time Magazine's shoddy hatchet job, using only facts &amp; logic

#AatishTaseer s… https://t.co/82Reywnd6d","negative"
"102",-1,"@INCIndia Now India will decide to pick MODI once becoz his lies r becoming truth. Hahahahahahahah","negative"
"103",0,"RT @ShefVaidya: So in the last three weeks, @sampitroda, political Guru and mentor of @RahulGandhi has 1) Questioned Balakot air strikes 2)…","neutral"
"104",-2,"RT @Prof_Hariom: Dear outraged Sikhs in Punjab, Delhi, Haryana &amp; Himachal Pradesh,

You one vote for the butcher of 15000 Sikhs, incl 3000…","negative"
"105",0,"@INCIndia #AbHogaNYAY #AyegaTohModiHi 
#Rafale is a creation of CONGI MEDIA, i heard when a sold out journalist int… https://t.co/U48jxegsYu","neutral"
"106",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"107",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"108",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"109",0,"RT @arunpudur: Leftist #TimeMagazine has it's Paki Journalist do a hit piece funded by Cambridge Analytica who's biggest customer is @INCIn…","neutral"
"110",-1,"RT @RavinarIN: Finally... @INCIndia ""DISTANCES"" itself from anti-Sikh ridicule by @SamPitroda... They say it was his personal comment... an…","negative"
"111",0,"@ManishTewari @sampitroda Not a blot on @INCIndia ?
No apologies from Gandhi family?","neutral"
"112",0,"@ShashiTharoor @AatishTaseer @INCIndia Divider by PAID MEDIA
Uniter by Action.

ALL GOVERNMENT POLICIES BASED ON ECONOMIC BACKWARDNESS","neutral"
"113",-1,"@RahulGandhi Japan India &amp;China were brand new nations after World War2, but India fell into the hands of a family… https://t.co/Ur7Sk8GO8u","negative"
"114",-2,"@nalinisharma_ This is because every evil that @INCIndia accuses BJP of, has been done by CONgress &amp; Milavat band:… https://t.co/OOv7W82h6Q","negative"
"115",1,"@PChidambaram_IN Top officers of @INCIndia also testified, but what's the credibility? The binge that was enjoyed b… https://t.co/3iEK9YrIds","positive"
"116",-1,"RT @65thakursahab: Dear @INCIndia supporters,  question the BJP &amp; Modi, on how he managed to destroy the Indian economy, despite low crude…","negative"
"117",0,"@iyerthewarrior @arivalayam @INCIndia That’s Election pact between dmk &amp; MDMK.","neutral"
"118",0,"@rssurjewala India got liberated from British not because of Congress, it is the common man who fought against them… https://t.co/bCYILrV0Tu","neutral"
"119",0,"Dear @NitishKumar please let @BJP4India @INCIndia fight on Mandir, masjid bt plz u focus on gtting Spcial status fo… https://t.co/7R59fLXB4G","neutral"
"120",0,"@RenMishra @priyankagandhi @INCIndia Very nice.... 👍","neutral"
"121",0,"RT @nsui: Congress President @RahulGandhi will be addressing public meeting in UNA, Himachal Pradesh today.

You may watch it here: 
YouTub…","neutral"
"122",0,"@ndtvfeed @ndtv Tolerance isn’t it??? @INCIndia","neutral"
"123",-1,"@sampitroda Most of the issues &amp; problems we face on everyday basis is also thanks to the grand old party @INCIndia… https://t.co/zpllRG9Zn7","negative"
"124",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"125",2,"@sampitroda And who stopped all this from being available to the country before. His darling mother and the convolu… https://t.co/ngdT2jOPse","positive"
"126",-1,"@INCIndia @RahulGandhi This is shocking","negative"
"127",-1,"RT @kunalchandwar: 350 odd may have voted but most direct contest seats are pending 
Around 275-300 direct contests between @BJP4India and…","negative"
"128",2,"RT @kunalchandwar: Why does it look like @BJP4India is the more politically astute party compared to the grand old @INCIndia 
75years and y…","positive"
"129",0,"“completely out of line,” party president Rahul Gandhi.
https://t.co/1mkpIQLy35
@RahulGandhi @INCIndia… https://t.co/BfxGBESnUg","neutral"
"130",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"131",-1,"@republic These @AamAadmiParty guys have nothing better! First his affidavit was wrong then he had 2 Voter I Cards… https://t.co/jy0sqOitsF","negative"
"132",0,"RT @Indopolity: 1. Admiral Ramdas is a politician now. 2. His daughter is in Ford Foundation. 3. Son-in-law is a Pakistani. 4. Wife is in G…","neutral"
"133",0,"RT @SiviChauhan: #Ramzan2019
According to Quran only Allah Kabir can forgive our sins.
But we can find him with the help of a bakhabar sain…","neutral"
"134",0,"@ShashiTharoor @AatishTaseer @INCIndia Just see the name of author and rest is evidence.","neutral"
"135",2,"RT @HarsimratBadal_: Raja Sahib @capt_amarinder you admit 5 @INCIndia men led ‘84 ‘katleaam’ of Sikhs but continue to protect #JagdishTytle…","positive"
"136",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"137",-2,"@RahulGandhi @INCIndia Could you please tell me why did he get Bharath Ratna, in spite of dying as "" Brashtachari n… https://t.co/9rPF4KQJ9V","negative"
"138",0,"@TheZamindaar @ashutosh83B @PawarSpeaks @NCPAMumbai @INCIndia @AamAadmiParty @BJP4India Very good... These people can say anything.......","neutral"
"139",1,"Navjot Singh Sidhu
@sherryontopp 
Is a barking DOG seldom bite.

When in @BJP4India , he called Congressi top prost… https://t.co/N2rXJ75zmH","positive"
"140",2,"RT @BhavikaKapoor5: On 23rd May 2019 people will see a miraculous come back like Phoenix of @INCIndia , all along my prediction for Congres…","positive"
"141",0,"@44vs56 @INCIndia @RahulGandhi @htTweets Actually what did he do to india plz tell","neutral"
"142",-1,"@INCIndia @BJP4India, why your all leader try to cash the dead bodies of 1984. Please forgive the people of India s… https://t.co/6C7Zrtic94","negative"
"143",-2,"RT @the_truepicture: Not just @sampitroda, but the whole of @INCIndia has this insensitive “hua to hua” approach on the issue of anti-Sikh…","negative"
"144",0,"@nmannathukkaren @ShashiTharoor Throw the dynasty and their chamchaas out of @INCIndia . Allow organic growth of le… https://t.co/gI0a6xAKRR","neutral"
"145",2,"RT @arnished: So @sampitroda says that the most important contribution from Rajiv Gandhi to the country is Phones &amp; Computers &amp; not @RahulG…","positive"
"146",0,"RT @rajeev_mp: Q: Why is #RajivGandhi being discussd in #Elections2019

Ans: @RahulGandhi @sampitroda @priyankagandhi - are all current lea…","neutral"
"147",0,"RT @raghuveer1bjp: @SirPareshRawal @INCIndia tackling crucial situations from ""#हुआ_तो_हुआ से #होगा_तो_देखा_जाएगा”.☠️☠️ https://t.co/z5HCkh…","neutral"
"148",0,"@narendramodi @AmitShah @ShashiTharoor @INCIndia @RahulGandhi @rssurjewala: Shashi Tharoor recently before Indian d… https://t.co/EvAlHQMTMc","neutral"
"149",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"150",0,"@ShashiTharoor Is it for your result or @INCIndia result?😉","neutral"
"151",0,"@TwitterIndia @verified what u guys r doin doin is totally wrong..u r not letting our tweets to reach to the people… https://t.co/lysujJMSOL","neutral"
"152",0,"RT @rahulsahu96782: #NEET #OneNationOneExam policy should be followed. #PostponeNEET2019

@RahulGandhi @nsui @Neerajkundan @INCIndia @gupta…","neutral"
"153",-2,"Salute @sampitroda n it was just slip of tongue...but beware sold #godimedia is out with mission defame @INCIndia s… https://t.co/Glj7aQZco8","negative"
"154",1,"RT @rahulsahu96782: Congress Party has always let nation love be defined by its selfless actions, going to the extent of sacrificing for it…","positive"
"155",0,"RT @rahulsahu96782: My Vote For Students Fraternity 
My Vote For Youths Of India 
My Vote For The Farmers Of India
My Vote For Development…","neutral"
"156",0,"@PonnalaLaksmiah @abpnewstv @AlankarSawai @AP @sravandasoju @RahulGandhi The US @TIME magazine does not feel at hom… https://t.co/1Tdkt74JTl","neutral"
"157",0,"@BebakAawaj @abhisar_sharma NO...He seems one of the darbari patalkar jo apne malik ka KUCH BHI chaat sakta hai. Jo… https://t.co/XWN8cPNHG5","neutral"
"158",0,"@ShashiTharoor @AatishTaseer @INCIndia And what about the views on Pappu.","neutral"
"159",1,"@NMenonRao Your sympathies for @INCIndia notwithstanding, @sampitroda has been very helpful so far for the BJP camp… https://t.co/sLJRkioPv1","positive"
"160",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"161",0,"@RahulGandhi @INCIndia When u obsessed modi and his family, then its ok. But when @narendramodi said something abou… https://t.co/JP0yQk88kq","neutral"
"162",0,"@nostradamuspeak @DickDarryl @Balindersingh3 @TimesNow @iSamiakapoor @RahulGandhi @manm0hansingh @rajarajeevkumar… https://t.co/Ps84WTkVDm","neutral"
"163",0,"RT @nsui: Congress President @RahulGandhi will be addressing public meeting in UNA, Himachal Pradesh today.

You may watch it here: 
YouTub…","neutral"
"164",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"165",-1,"RT @Prof_Hariom: Big big big big breaking 
Punjab CM Captain Amrinder Singh admits that 5 top Congress  leaders carried out massacre of 800…","negative"
"166",0,"@_sabanaqvi Media advisor of @sampitroda and @INCIndia","neutral"
"167",-1,"@RahulGandhi
@INCIndia
Good अध्यक्ष महोदय...

1984 was a needless tragedy, Sam Pitroda must apologise, says Rahul G… https://t.co/mSIZytmLr5","negative"
"168",0,"@abhinandita_m @AtishiAAP @jaavedjaaferi @AkshayMarathe @VishalDadlani @ReallySwara @PritishNandy @SrBachchan… https://t.co/LPbDhkjOuS","neutral"
"169",-1,"RT @GitaSKapoor: Monkey man Sam Pitroda justifying Sikh genocide of 1984. Says #HuaTohHua shame on the @INCIndia supporting Sikhs who have…","negative"
"170",1,"RT @anupamsuneet: Sitting in an air-conditioned studio and defending #Pitroda and @INCIndia is a good job for some sycophants. I feel sorry…","positive"
"171",0,"@vishkanyaaaa #LoveJihad other way round 😂😂😂😂😂😂@TarekFatah @DrRizwanAhmed1 @ShefVaidya @Shehzad_Ind @rssurjewala… https://t.co/dYYnwe0k8V","neutral"
"172",0,"RT @tathinaidu45: @Salonig53590990 @narendramodi @INCIndia @the_hindu @RahulGandhi Dear Respected Sir/Madam,
Request your intervention here…","neutral"
"173",0,"RT @Amanver28528794: @Salonig53590990 @narendramodi @INCIndia @the_hindu @RahulGandhi Please justice sir..","neutral"
"174",-1,"RT @ABHINAV65289239: @Salonig53590990 @narendramodi @INCIndia @the_hindu @RahulGandhi Sir most of us have resigned from there present job a…","negative"
"175",0,"RT @sethsahil70: @Salonig53590990 @narendramodi @INCIndia @the_hindu @RahulGandhi @Swamy39 @PrakashJavdekar  @SushmaSwaraj @narendramodi  @…","neutral"
"176",0,"RT @sNeHrIqUe9: @Salonig53590990 @narendramodi @INCIndia @the_hindu @RahulGandhi @Salonig53590990 @PMOIndia@INCIndia @the_hindu @RahulGandh…","neutral"
"177",1,"@JasumatiPatel @INCIndia Are you expecting sincerity from congress 😂😂😂😂😂 the whole party and a family is using fals… https://t.co/4FPNxcijPq","positive"
"178",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"179",0,"@GautamGambhir @aap Frustrated @AamAadmiParty n @INCIndia and their chamchas @dhruv_rathee can only dream to defeat… https://t.co/Yl92Pl9OEV","neutral"
"180",1,"@AmbVPrakash @INCIndia @narendramodi You can have the smoothest of English skills, wax eloquence...but the unfortun… https://t.co/mCEqXVnvTW","positive"
"181",-1,"@ndtvindia As a chief of INC u must send a big apology to Sikh community of india ! Even after SAm Pitroda worst st… https://t.co/EnpM68TSNY","negative"
"182",1,"RT @arunpudur: So the unbiased 'Journalist' Taseer is / was @INCIndia PR Manager. 

Aare Pidis forgot to delete this in Wikipedia. May thin…","positive"
"183",0,"@INCIndia -Leats repeat Rahul Gandhi interview with Arnab? Play it for motivating yr workers? https://t.co/w1hMNSGBfa","neutral"
"184",0,"RT @ShefVaidya: So in the last three weeks, @sampitroda, political Guru and mentor of @RahulGandhi has 1) Questioned Balakot air strikes 2)…","neutral"
"185",0,"@SriAiyerRS2 @Himanshu_1922 @samdangasiya @drtanmaysahu @arunjaitley @INCIndia @niiravmodi @KaleenBhaiya_ Get in th… https://t.co/x7C4eBtSc2","neutral"
"186",-1,"RT @akashbanerjee: At first the ploy to use @INCIndia's track record in 1984 to contest elections in 2019 looked a little desperate.
But th…","negative"
"187",0,"RT @DrGPradhan: 1965 : CSI started
1968 : TCS started 
1972 : Patni started
1976 : HCL started
1978 : PCS started 
1980 : WIPRO started in…","neutral"
"188",1,"@Himansh72125945 @ShefVaidya @sampitroda @INCIndia You love this face, don't you? https://t.co/wQ3cSjk46V","positive"
